,id,label,latitude,longitude,updated_at,current_stop_sequence,speed,occupancy_status,direction_id,route_id,trip_id,bearing,stop_id,vehicle_status,last_modified
82,y3235,3235,42.329867,-71.084168,2025-11-13 18:34:05,24.0,,MANY_SEATS_AVAILABLE,1,1,71373300,93.0,,IN_TRANSIT_TO,2025-11-13 23:34:08
83,y3236,3236,42.364551,-71.102162,2025-11-14 15:11:35,18.0,,MANY_SEATS_AVAILABLE,0,1,71375368,319.0,,IN_TRANSIT_TO,2025-11-14 20:11:50
84,y3240,3240,42.340246,-71.068885,2025-11-13 17:50:19,8.0,,,0,1,71468257,,,STOPPED_AT,2025-11-13 22:50:23
85,y3242,3242,42.3298,-71.08371,2025-11-14 15:11:29,1.0,,MANY_SEATS_AVAILABLE,0,1,71375299,225.0,,STOPPED_AT,2025-11-14 20:11:38
86,y3244,3244,42.329903,-71.084169,2025-11-13 20:38:31,24.0,,MANY_SEATS_AVAILABLE,1,1,71466236,192.0,,IN_TRANSIT_TO,2025-11-14 01:38:38
87,y3248,3248,42.329847,-71.084178,2025-11-14 08:46:24,24.0,,MANY_SEATS_AVAILABLE,1,1,71375306,67.0,,IN_TRANSIT_TO,2025-11-14 13:46:32
88,y3252,3252,42.329852,-71.084296,2025-11-13 12:39:12,24.0,,MANY_SEATS_AVAILABLE,1,1,71375334,108.0,,IN_TRANSIT_TO,2025-11-13 17:39:20
89,y3254,3254,42.329821,-71.084036,2025-11-12 18:54:28,24.0,,MANY_SEATS_AVAILABLE,1,1,71375365,108.0,,IN_TRANSIT_TO,2025-11-12 23:54:34
90,y3263,3263,42.32988,-71.08436,2025-11-13 19:10:51,24.0,,MANY_SEATS_AVAILABLE,1,1,71375365,180.0,,IN_TRANSIT_TO,2025-11-14 00:11:09
91,y3264,3264,42.3298,-71.08354,2025-11-14 15:10:28,1.0,,MANY_SEATS_AVAILABLE,0,1,71372977,90.0,,STOPPED_AT,2025-11-14 20:10:34
92,y3269,3269,42.329894,-71.084415,2025-11-11 18:24:49,24.0,,MANY_SEATS_AVAILABLE,1,1,71555827,158.0,,IN_TRANSIT_TO,2025-11-11 23:24:59
93,y3277,3277,42.329846,-71.084251,2025-11-13 14:12:43,24.0,,MANY_SEATS_AVAILABLE,1,1,71375335,97.0,,IN_TRANSIT_TO,2025-11-13 19:12:51
94,y3280,3280,42.32983,-71.084061,2025-11-14 09:19:24,24.0,,MANY_SEATS_AVAILABLE,1,1,71375308,88.0,,IN_TRANSIT_TO,2025-11-14 14:19:35
95,y3288,3288,42.329807,-71.084462,2025-11-14 14:18:57,24.0,,MANY_SEATS_AVAILABLE,1,1,71375335,103.0,,IN_TRANSIT_TO,2025-11-14 19:19:05
96,y3291,3291,42.367973,-71.108047,2025-11-12 10:27:05,5.0,,FEW_SEATS_AVAILABLE,1,1,71373292,,,STOPPED_AT,2025-11-12 15:27:13
97,y3297,3297,42.372835,-71.116946,2025-11-13 18:27:04,24.0,,MANY_SEATS_AVAILABLE,0,1,71375295,289.0,,IN_TRANSIT_TO,2025-11-13 23:27:14
